what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1315415553930
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1315415553931
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1315415553931
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1315415553932
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1315415553932
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1315415553932
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1315415553933
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1315415553933
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1315415553933
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1315415553934
started,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1315415553934
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1315415553935
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1315415553935
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1315415553935
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1315415553935
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1315415553936
started,bundle,org.eclipse.egit.core,0.12.1,"org.eclipse.egit.core",1315415553937
started,bundle,org.eclipse.egit.ui,0.12.1,"org.eclipse.egit.ui",1315415553938
started,bundle,org.eclipse.jgit,0.12.1,"org.eclipse.jgit",1315415553938
started,bundle,org.ebayopensource.vjet.core.jst,1.0.0.201105122210,"org.ebayopensource.vjet.core.jst",1315415553938
started,bundle,org.ebayopensource.vjet.core.jstojava,1.0.0.201105122210,"org.ebayopensource.vjet.core.jstojava",1315415553939
started,bundle,org.ebayopensource.vjet.core.util,1.0.0.201105122210,"org.ebayopensource.vjet.core.util",1315415553939
started,bundle,org.ebayopensource.vjet.core.vjodef,1.0.0.201105122210,"org.ebayopensource.vjet.core.vjodef",1315415553939
started,bundle,org.ebayopensource.vjet.core.vjotool,1.0.0.201105122210,"org.ebayopensource.vjet.core.vjotool",1315415553940
started,bundle,org.ebayopensource.vjet.eclipse.debug,1.0.0.201105122210,"org.ebayopensource.vjet.eclipse.debug",1315415553940
started,bundle,org.ebayopensource.vjet.extmod.jsdt,1.0.0.201105122210,"org.ebayopensource.vjet.extmod.jsdt",1315415553940
started,bundle,org.ebayopensource.vjet.resource.jsnativetypes,1.0.0.201105122210,"org.ebayopensource.vjet.resource.jsnativetypes",1315415553941
started,bundle,org.eclipse.dltk.mod.core,1.0.0.201105122210,"org.eclipse.dltk.mod.core",1315415553941
